timestamp,num_rows,mae,rmse
2026-06-10 20:39:20,5914,1.29,2.87
2026-06-10 20:48:40,6093,1.23,2.55
2026-06-10 21:09:50,6267,1.31,2.75
2026-06-10 23:17:41,10714,1.28,2.86
2026-06-11 00:23:27,15576,1.06,2.29
2026-06-11 00:38:05,16019,1.08,2.31
2026-06-11 04:11:10,17082,1.04,2.26
2026-06-11 05:11:19,17290,1.07,2.31
2026-06-11 06:31:35,18166,1.05,2.21
2026-06-11 07:31:56,19188,1.1,2.44
2026-06-11 08:32:07,20184,1.1,2.43
2026-06-11 09:32:18,21035,1.07,2.29
2026-06-11 10:32:27,21723,1.09,2.35
2026-06-11 16:05:34,23235,1.12,2.47
2026-06-11 17:05:44,24342,1.13,2.48
2026-06-11 18:05:54,25347,1.14,2.53
2026-06-11 19:06:03,26138,1.14,2.63
2026-06-11 20:06:24,26771,1.16,2.59
2026-06-11 21:06:47,27300,1.13,2.47
2026-06-11 22:06:56,27784,1.11,2.37
2026-06-11 23:07:05,28225,1.14,2.51
2026-06-12 00:07:14,28621,1.11,2.48
2026-06-12 04:19:41,28897,1.14,2.51
2026-06-12 05:28:53,29165,1.13,2.49
2026-06-12 06:29:02,29797,1.12,2.44
2026-06-12 07:29:11,30803,1.11,2.37
2026-06-12 08:29:20,31810,1.1,2.38
2026-06-12 09:29:29,32631,1.13,2.48
2026-06-12 10:29:55,33338,1.14,2.48
2026-06-12 14:51:07,34052,1.1,2.34
2026-06-12 15:41:33,35053,1.13,2.44
2026-06-12 16:41:43,36173,1.16,2.49
2026-06-12 17:41:54,37218,1.13,2.42
2026-06-12 18:42:04,38071,1.14,2.36
2026-06-12 19:42:13,38710,1.17,2.6
2026-06-12 20:42:36,39248,1.18,2.52
2026-06-12 21:42:47,39750,1.17,2.59
2026-06-12 22:43:09,40214,1.16,2.5
2026-06-12 23:43:19,40624,1.16,2.51
2026-06-13 00:43:29,40927,1.16,2.5
2026-06-13 01:43:38,41093,1.17,2.58
2026-06-13 02:43:47,41168,1.17,2.61
2026-06-13 03:43:55,41250,1.16,2.54
2026-06-13 04:44:03,41340,1.16,2.56
2026-06-13 05:44:11,41566,1.15,2.44
2026-06-13 06:44:19,41937,1.18,2.57
2026-06-13 07:44:29,42386,1.17,2.49
2026-06-13 08:44:37,42908,1.14,2.44
2026-06-13 09:44:47,43443,1.17,2.55
2026-06-13 10:45:13,44045,1.16,2.45
2026-06-13 11:45:22,44633,1.17,2.55
2026-06-13 12:45:31,45283,1.17,2.56
2026-06-13 13:45:43,45968,1.18,2.6
2026-06-13 14:45:53,46650,1.17,2.5
2026-06-13 15:46:21,47334,1.2,2.63
2026-06-13 18:52:39,48568,1.2,2.6
2026-06-13 19:52:49,49103,1.19,2.64
2026-06-13 20:53:14,49557,1.22,2.77
2026-06-13 21:53:24,49988,1.19,2.6
2026-06-13 22:53:43,50380,1.19,2.66
